시가,고가,저가,종가,거래량,거래대금,등락률
4095,4200,3700,4200,44,177930,2.44
2790,2790,2325,2550,3422,8626820,2.41
2720,2900,2600,2835,4522,12196815,-0.35
42600,43200,42300,42600,7100,304703000,0.12
2250,2590,2250,2495,546,1403520,-3.85
5410,5750,5410,5720,27348,137389900,-0.52
14400,14400,13800,13800,36,509500,-3.83
3000,3000,2990,3000,1346,4037000,0.84
51,51,49,51,1655,83650,0.0
4500,4500,4150,4300,294,1252510,-6.42
7490,7490,6100,6670,46,306710,-4.03
10800,11900,10600,11000,1330,14632300,0.46
43500,44000,42550,44000,177,7628000,-10.2
0,0,0,1690,0,0,0.0
3195,3195,2880,2880,2,6075,-12.73
1995,1995,1995,1995,1,1995,11.45
6200,6200,6200,6200,1,6200,0.0
0,0,0,10450,0,0,0.0
7840,8570,7500,8570,2174,18245790,14.88
870,870,869,869,16,13905,0.0
5120,5450,5120,5400,264645,1324024660,1.12
3695,3700,3520,3685,3752,13599325,4.1
0,0,0,1390,0,0,0.0
11750,11750,11750,11750,100,1175000,-2.89
1565,1565,1270,1520,3,4355,2.01
4300,4300,4200,4200,21,89200,-4.55
596,599,570,595,38808,22806160,0.0
380,500,380,450,1464,569314,0.67
3520,3755,3520,3640,272,972755,-0.27
1945,1945,1930,1930,2,3875,2.93
4200,4200,4000,4000,251,1054000,-5.88
13350,13350,13000,13000,2289,29880050,0.0
0,0,0,28950,0,0,-2.69
5200,5200,5200,5200,5,26000,0.0
0,0,0,181,0,0,0.0
2380,2380,2335,2375,2374,5553410,-0.21
4490,4490,3900,4200,1326,5524965,0.48
0,0,0,1100,0,0,0.0
6570,6570,6570,6570,69,453330,1.08
0,0,0,7600,0,0,0.0
1000,1205,991,1065,8695,8714146,0.0
950,999,940,995,4950,4775950,3.65
148,148,122,138,1056,145891,-2.13
2300,2680,2300,2340,3927,9197785,-9.48
9400,10000,9400,9950,313,2972960,-9.95
0,0,0,912,0,0,0.0
2395,2595,2395,2400,41,99545,4.35
16700,16700,13500,15300,128,1894800,-3.47
969,969,894,894,23,20641,-0.67
4180,4380,4125,4345,5468,22711255,-0.91
0,0,0,1195,0,0,-0.42
4200,4390,4000,4000,6744,27191915,-3.26
4805,4805,4805,4805,1,4805,2.13
6780,6780,6780,6780,1,6780,5.77
0,0,0,5950,0,0,0.0
1890,1890,1890,1890,4,7560,-0.53
3800,3800,3775,3775,5,18900,0.27
3360,3455,3090,3455,414,1317435,2.83
7420,7640,7410,7640,98,728620,-0.26
1000,1075,1000,1075,2834,2901975,0.47
4045,4195,3865,4155,26903,107708790,5.73
7140,7650,7140,7650,4998,37070390,7.59
951,1260,951,1010,48,46325,-8.18
10550,12050,10550,12050,2,22600,14.76
4300,4300,4300,4300,1,4300,1.18
5680,5680,5240,5240,4,21820,-7.91
6590,6590,6590,6590,1,6590,2.97
2900,3000,2800,3000,135,379600,-2.6
0,0,0,2280,0,0,0.0
345,345,266,339,886,238078,12.25
3150,3150,2730,3015,1448,4232830,-2.9
17800,17900,15150,17350,357,6259700,10.86
0,0,0,3500,0,0,0.0
0,0,0,12150,0,0,0.0
6990,6990,6800,6800,90,617850,0.0
9500,9690,9460,9650,2025,19408120,1.9
500,578,500,565,23205,11623046,12.1
0,0,0,2400,0,0,0.0
2200,2200,2200,2200,1,2200,11.11
401,401,401,401,1,401,14.57
4675,4680,4670,4680,351,1640680,0.0
0,0,0,1800,0,0,0.0
1700,1700,1700,1700,1,1700,6.25
1665,1665,1235,1430,525,736555,-1.38
14200,14200,13950,13950,35,490800,0.36
25950,25950,25950,25950,10,259500,0.0
4290,4290,3980,4095,455,1813875,2.89
3645,3645,3505,3635,117,411055,-0.82
4995,4995,4250,4985,4,18480,0.0
0,0,0,8590,0,0,0.0
1095,1095,1000,1085,4004,4004405,-1.36
2395,2395,2250,2270,1421,3222990,0.89
7200,7200,7140,7140,103,736480,0.56
2940,2955,2940,2955,1001,2942955,0.51
2825,3185,2405,2685,731,1761275,-4.96
2495,2495,2495,2495,1,2495,0.4
790,790,790,790,1,790,0.0
19500,19500,18500,18500,4,76000,-7.5
4050,4050,4050,4050,1,4050,1.25
699,699,612,699,714,437925,0.0
529,529,529,529,1,529,5.8
0,0,0,22500,0,0,0.0
0,0,0,13850,0,0,0.0
6500,6950,6310,6790,33279,214639050,0.0
0,0,0,2055,0,0,-1.44
6210,6390,6210,6360,463,2918550,-0.63
8270,8270,8270,8270,1,8270,14.86
2385,2385,2205,2385,7,16515,-0.21
2200,2200,1970,2080,1802,3622650,-5.02
14000,14000,14000,14000,3,42000,0.36
0,0,0,10500,0,0,-5.41
2000,2180,2000,2100,32,65280,10.53
13500,13500,11400,13300,1710,21556250,-0.75
9990,9990,9790,9790,8,78520,-0.51
1105,1105,925,999,1540,1430695,-7.93
550,550,550,550,1,550,13.64
994,1095,994,1095,1100,1096518,9.83
0,0,0,11850,0,0,-0.42
3900,3900,3390,3400,27,92515,-14.68
11300,11300,11300,11300,65,734500,0.0
27900,27900,26000,26950,34,907150,-0.19
1185,1185,1010,1015,1017,1027885,-5.14
1185,1185,1060,1155,1706,1840110,-0.86
12950,13000,12300,12300,106,1344600,-2.38
4990,5100,4800,5000,281,1393570,-0.4
6750,6750,6400,6530,642,4262020,3.16
4000,4300,4000,4005,16,67260,-6.64
0,0,0,994,0,0,0.0
3820,4350,3820,4145,3756,15052675,-0.12
0,0,0,15500,0,0,0.0
10100,10900,10100,10900,28,283600,-0.46
3995,3995,3520,3895,131,481530,-2.01
